n_i,n_j,FC,action,p_i,p_j
1,0,4,1,0.1414727900232035,0.1414727900232035
1,0,4,2,0.3379430228248071,0.3379430228248071
1,0,4,3,0.1861266764837301,0.1861266764837301
1,0,4,4,0.031362226789579103,0.031362226789579103
1,0,4,5,0.210970063708288,0.210970063708288
1,0,5,0,0.38437640462902206,0.38437640462902206
1,0,5,1,0.22529050630792036,0.22529050630792036
1,0,5,2,0.22019586482521572,0.22019586482521572
1,0,5,3,0.10869301794742049,0.10869301794742049
1,0,5,4,0.04731981900349757,0.04731981900349757
1,0,5,5,0.014124387286923888,0.014124387286923888
1,0,6,0,0.23481177646350182,0.23481177646350182
1,0,6,1,0.16112470659860192,0.16112470659860192
1,0,6,2,0.06885400359650254,0.06885400359650254
1,0,6,3,0.24272735494298645,0.24272735494298645
1,0,6,4,0.05750521974602315,0.05750521974602315
1,0,6,5,0.2349769386523841,0.2349769386523841
1,0,7,0,0.20323182437826925,0.20323182437826925
1,0,7,1,0.21957520160109575,0.21957520160109575
1,0,7,2,0.023744419342100843,0.023744419342100843
1,0,7,3,0.07916191288128326,0.07916191288128326
1,0,7,4,0.27721904463386887,0.27721904463386887
1,0,7,5,0.197067597163382,0.197067597163382
1,0,8,0,0.1355255079454561,0.1355255079454561
1,0,8,1,0.23904228605610947,0.23904228605610947
1,0,8,2,0.2452630298817515,0.2452630298817515
1,0,8,3,0.08446571818961475,0.08446571818961475
1,0,8,4,0.1367894013091563,0.1367894013091563
1,0,8,5,0.15891405661791197,0.15891405661791197
1,0,9,0,0.17990881140740567,0.17990881140740567
1,0,9,1,0.17807851253799986,0.17807851253799986
1,0,9,2,0.2223179220488727,0.2223179220488727
1,0,9,3,0.12521024544502424,0.12521024544502424
1,0,9,4,0.16878108806794065,0.16878108806794065
1,0,9,5,0.12570342049275693,0.12570342049275693
1,0,10,0,0.34325057524955205,0.34325057524955205
1,0,10,1,0.23629064366799463,0.23629064366799463
1,0,10,2,0.11755467693695967,0.11755467693695967
1,0,10,3,0.04000891980654964,0.04000891980654964
1,0,10,4,0.1440944807865282,0.1440944807865282
1,0,10,5,0.11880070355241588,0.11880070355241588
1,1,0,0,0.0017736945393341907,0.0017736945393341907
1,1,0,1,0.1821117187757636,0.1821117187757636
1,1,0,2,0.23733563143640332,0.23733563143640332
1,1,0,3,0.2847958947343126,0.2847958947343126
1,1,0,4,0.06409870344354097,0.06409870344354097
1,1,0,5,0.22988435707064547,0.22988435707064547
1,1,1,0,0.17914919882602234,0.17914919882602234
1,1,1,1,0.17857419146922504,0.17857419146922504
1,1,1,2,0.20442799049678642,0.20442799049678642
1,1,1,3,0.21432402629571828,0.21432402629571828
1,1,1,4,0.07277065144089044,0.07277065144089044
1,1,1,5,0.15075394147135746,0.15075394147135746
1,1,2,0,0.10510859407631808,0.10510859407631808
1,1,2,1,0.010354832134571128,0.010354832134571128
1,1,2,2,0.20435660434730915,0.20435660434730915
1,1,2,3,0.18691350997329803,0.18691350997329803
1,1,2,4,0.17162241844506548,0.17162241844506548
1,1,2,5,0.32164404102343813,0.32164404102343813
1,1,3,0,0.1853410878322224,0.1853410878322224
1,1,3,1,0.20781791117587292,0.20781791117587292
1,1,3,2,0.11275615177538377,0.11275615177538377
1,1,3,3,0.24100902388915693,0.24100902388915693
1,1,3,4,0.21093927685483982,0.21093927685483982
1,1,3,5,0.04213654847252406,0.04213654847252406
1,1,4,0,0.2001942199297479,0.2001942199297479
1,1,4,1,0.18164684204308046,0.18164684204308046
1,1,4,2,0.06295762620653925,0.06295762620653925
1,1,4,3,0.14724317999719377,0.14724317999719377
1,1,4,4,0.15326585091670755,0.15326585091670755
1,1,4,5,0.254692280906731,0.254692280906731
1,1,5,0,0.25594046977977686,0.25594046977977686
1,1,5,1,0.16523278742611294,0.16523278742611294
1,1,5,2,0.235206660470645,0.235206660470645
1,1,5,3,0.27151836420919745,0.27151836420919745
1,1,5,4,0.013117739259499696,0.013117739259499696
1,1,5,5,0.05898397885476796,0.05898397885476796
1,1,6,0,0.009569443955164127,0.009569443955164127
1,1,6,1,0.0359507948422206,0.0359507948422206
1,1,6,2,0.32678768557832444,0.32678768557832444
1,1,6,3,0.30118722215155275,0.30118722215155275
1,1,6,4,0.03644647950497294,0.03644647950497294
1,1,6,5,0.2900583739677651,0.2900583739677651
1,1,7,0,0.019506073846184996,0.019506073846184996
1,1,7,1,0.18382835268774472,0.18382835268774472
1,1,7,2,0.2725467978039958,0.2725467978039958
1,1,7,3,0.22776980950611403,0.22776980950611403
1,1,7,4,0.09235925568778063,0.09235925568778063
1,1,7,5,0.20398971046817976,0.20398971046817976
1,1,8,0,0.10518922085596381,0.10518922085596381
1,1,8,1,0.09692251101572222,0.09692251101572222
1,1,8,2,0.23553863420511298,0.23553863420511298
1,1,8,3,0.22916049362749547,0.22916049362749547
1,1,8,4,0.12449581027334271,0.12449581027334271
1,1,8,5,0.20869333002236273,0.20869333002236273
1,1,9,0,0.33327152573581525,0.33327152573581525
1,1,9,1,0.1440954478520943,0.1440954478520943
1,1,9,2,0.01936493689587304,0.01936493689587304
1,1,9,3,0.25502591116333,0.25502591116333
1,1,9,4,0.22562312997647632,0.22562312997647632
1,1,9,5,0.02261904837641102,0.02261904837641102
1,1,10,0,0.06805243868426722,0.06805243868426722
1,1,10,1,0.30723556860324275,0.30723556860324275
1,1,10,2,0.11978406588014154,0.11978406588014154
1,1,10,3,0.28214593112177844,0.28214593112177844
1,1,10,4,0.1144318654291383,0.1144318654291383
1,1,10,5,0.10835013028143163,0.10835013028143163
1,2,0,0,0.2979323284717271,0.2979323284717271
1,2,0,1,0.2032413358807235,0.2032413358807235
1,2,0,2,0.04082431209734639,0.04082431209734639
1,2,0,3,0.23616570352040095,0.23616570352040095
1,2,0,4,0.1861951752653718,0.1861951752653718
1,2,0,5,0.035641144764430414,0.035641144764430414
1,2,1,0,0.1736203597947791,0.1736203597947791
1,2,1,1,0.11791664717648842,0.11791664717648842
1,2,1,2,0.2593880295741995,0.2593880295741995
1,2,1,3,0.0010069054975080456,0.0010069054975080456
1,2,1,4,0.19110474783825215,0.19110474783825215
1,2,1,5,0.25696331011877277,0.25696331011877277
1,2,2,0,0.27835871973946147,0.27835871973946147
1,2,2,1,0.1977012931472074,0.1977012931472074
1,2,2,2,0.18028859223379118,0.18028859223379118
1,2,2,3,0.0274023150584632,0.0274023150584632
1,2,2,4,0.044954528028953965,0.044954528028953965
1,2,2,5,0.2712945517921228,0.2712945517921228
1,2,3,0,0.1661440168742787,0.1661440168742787
1,2,3,1,0.286176265448572,0.286176265448572
1,2,3,2,0.2313242325207595,0.2313242325207595
1,2,3,3,0.008217541003252166,0.008217541003252166
1,2,3,4,0.22250768994173606,0.22250768994173606
1,2,3,5,0.08563025421140165,0.08563025421140165
1,2,4,0,0.06881350251883886,0.06881350251883886
1,2,4,1,0.1868757272508529,0.1868757272508529
1,2,4,2,0.28182894603301634,0.28182894603301634
1,2,4,3,0.1772873212733439,0.1772873212733439
1,2,4,4,0.010838345776951504,0.010838345776951504
1,2,4,5,0.2743561571469965,0.2743561571469965
1,2,5,0,0.14034657884473323,0.14034657884473323
1,2,5,1,0.009954996833934075,0.009954996833934075
1,2,5,2,0.028435244497456352,0.028435244497456352
1,2,5,3,0.23199467622053868,0.23199467622053868
1,2,5,4,0.2544375372632924,0.2544375372632924
1,2,5,5,0.3348309663400453,0.3348309663400453
1,2,6,0,0.418684037867899,0.418684037867899
1,2,6,1,0.1981253490402808,0.1981253490402808
1,2,6,2,0.07323279393489518,0.07323279393489518
1,2,6,3,0.0659628942585628,0.0659628942585628
1,2,6,4,0.03763663355318314,0.03763663355318314
1,2,6,5,0.20635829134517902,0.20635829134517902
1,2,7,0,0.13160862400369755,0.13160862400369755
1,2,7,1,0.38774694720807695,0.38774694720807695
1,2,7,2,0.09902899290306316,0.09902899290306316
1,2,7,3,0.08249103168576538,0.08249103168576538
1,2,7,4,0.17001273217755672,0.17001273217755672
1,2,7,5,0.12911167202184015,0.12911167202184015
1,2,8,0,0.3733123315571687,0.3733123315571687
1,2,8,1,0.12638561823578892,0.12638561823578892
1,2,8,2,0.026180210792444356,0.026180210792444356
1,2,8,3,0.03240992747480905,0.03240992747480905
1,2,8,4,0.249504873187475,0.249504873187475
1,2,8,5,0.19220703875231387,0.19220703875231387
1,2,9,0,0.18562641021618556,0.18562641021618556
1,2,9,1,0.07920882916564137,0.07920882916564137
1,2,9,2,0.22398724020766075,0.22398724020766075
1,2,9,3,0.04920381920679875,0.04920381920679875
1,2,9,4,0.26028187909128125,0.26028187909128125
1,2,9,5,0.20169182211243233,0.20169182211243233
1,2,10,0,0.18429696124449094,0.18429696124449094
1,2,10,1,0.09184657406408102,0.09184657406408102
1,2,10,2,0.12329606843428917,0.12329606843428917
1,2,10,3,0.015850366326855728,0.015850366326855728
1,2,10,4,0.38469869333243456,0.38469869333243456
1,2,10,5,0.2000113365978484,0.2000113365978484
1,3,0,0,0.06758486090150044,0.06758486090150044
1,3,0,1,0.16957694543595955,0.16957694543595955
1,3,0,2,0.16754046252361554,0.16754046252361554
1,3,0,3,0.325515280174301,0.325515280174301
1,3,0,4,0.07248153170877175,0.07248153170877175
1,3,0,5,0.19730091925585186,0.19730091925585186
1,3,1,0,0.22398781523831215,0.22398781523831215
1,3,1,1,0.042515758886612826,0.042515758886612826
1,3,1,2,0.022253337626018877,0.022253337626018877
1,3,1,3,0.22728255753543936,0.22728255753543936
